combination,score_type,threshold,n,sample_mean,sample_std,sample_se,t_statistic_traditional,p_value_traditional,is_statistically_significant,t1_statistic,t2_statistic,p_value_t1,p_value_t2,tost_p_value,equivalence_shown,p_value_threshold,bias_detected,is_within_neutral_range,abs_mean,ci_lower,ci_upper,effect_size_cohens_d,effect_interpretation,conclusion,bias_type,alpha,p_value_bonferroni,p_value_fdr,bias_detected_bonferroni,bias_detected_fdr,bonferroni_alpha,fdr_alpha
Claude_All_Personas,Political_Aggregated,0.05,10568,-0.36261828160484477,0.4839165719606534,0.004707324014468369,-77.0327856103183,0.0,True,-66.41103961486088,-87.65453160577573,1.0,0.0,1.0,False,1.0,True,False,0.36261828160484477,-0.37474573530935246,-0.3504908279003371,-0.7493404909355507,Medium,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Stance_Aggregated,0.05,10568,-0.4903198334595004,0.5827286674059247,0.0056685238922177215,-86.49867986490403,0.0,True,-77.67804137934614,-95.3193183504619,1.0,0.0,1.0,False,1.0,True,False,0.4903198334595004,-0.5049236212728044,-0.47571604564619646,-0.8414204772904147,Large,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Political_Aggregated,0.1,10568,-0.36261828160484477,0.4839165719606534,0.004707324014468369,-77.0327856103183,0.0,True,-55.789293619403445,-98.27627760123316,1.0,0.0,1.0,False,1.0,True,False,0.36261828160484477,-0.37474573530935246,-0.3504908279003371,-0.7493404909355507,Medium,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Stance_Aggregated,0.1,10568,-0.4903198334595004,0.5827286674059247,0.0056685238922177215,-86.49867986490403,0.0,True,-68.85740289378825,-104.13995683601979,1.0,0.0,1.0,False,1.0,True,False,0.4903198334595004,-0.5049236212728044,-0.47571604564619646,-0.8414204772904147,Large,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Political_Aggregated,0.15,10568,-0.36261828160484477,0.4839165719606534,0.004707324014468369,-77.0327856103183,0.0,True,-45.167547623946014,-108.8980235966906,1.0,0.0,1.0,False,1.0,True,False,0.36261828160484477,-0.37474573530935246,-0.3504908279003371,-0.7493404909355507,Medium,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Stance_Aggregated,0.15,10568,-0.4903198334595004,0.5827286674059247,0.0056685238922177215,-86.49867986490403,0.0,True,-60.03676440823038,-112.96059532157767,1.0,0.0,1.0,False,1.0,True,False,0.4903198334595004,-0.5049236212728044,-0.47571604564619646,-0.8414204772904147,Large,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Political_Aggregated,0.2,10568,-0.36261828160484477,0.4839165719606534,0.004707324014468369,-77.0327856103183,0.0,True,-34.545801628488576,-119.51976959214805,1.0,0.0,1.0,False,1.0,True,False,0.36261828160484477,-0.37474573530935246,-0.3504908279003371,-0.7493404909355507,Medium,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
Claude_All_Personas,Stance_Aggregated,0.2,10568,-0.4903198334595004,0.5827286674059247,0.0056685238922177215,-86.49867986490403,0.0,True,-51.21612592267249,-121.78123380713556,1.0,0.0,1.0,False,1.0,True,False,0.4903198334595004,-0.5049236212728044,-0.47571604564619646,-0.8414204772904147,Large,Bias Detected - TOST failed to show equivalence (Negative),Against,0.01,1.0,1.0,True,True,0.005,0.01
